what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176585013
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176630860
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176631325
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176631519
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176631701
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176631890
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311176632105
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311176634794
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177803411
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1311177805496
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177814033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177816518
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177832551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177832922
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177832929
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311177832981
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311209489193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311225789834
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225802804
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225818984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225822146
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1311225828658
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225882924
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311225888523
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311225900182
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311225900497
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311225900870
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311225997299
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311226020951
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311226097924
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311226104081
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311226104339
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311226107385
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311226115141
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311226150582
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311226150665
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311226150716
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311226150783
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311226158108
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311226161900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311226161941
