what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1311080740961
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1311080740961
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1311080740976
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1311080740976
os,sysinfo,,,"win32",1311080740978
arch,sysinfo,,,"x86",1311080740978
ws,sysinfo,,,"win32",1311080740978
locale,sysinfo,,,"en_AU",1311080740979
processors,sysinfo,,,"4",1311080740979
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1311080740979
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1311080740979
java.specification.name,sysinfo,,,"Java Platform API Specification",1311080740979
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311080740979
java.specification.version,sysinfo,,,"1.6",1311080740979
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1311080740979
java.version,sysinfo,,,"1.6.0_26",1311080740979
java.vm.info,sysinfo,,,"mixed mode, sharing",1311080740979
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1311080740979
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1311080740979
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1311080740979
java.vm.specification.version,sysinfo,,,"1.0",1311080740979
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1311080740979
java.vm.version,sysinfo,,,"20.1-b02",1311080740979
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1311080742046
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311080759051
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311080759168
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311080763395
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311080763491
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311080771916
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1311080778929
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311080799604
started,bundle,org.eclipse.help.base,3.4.0.v201002111343,"org.eclipse.help.base",1311080799741
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1311080799757
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1311080799852
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1311080799933
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1311080800098
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1311080800117
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168208667
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168258410
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168435781
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1311168551922
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1311168555268
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1311168555751
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1311168583144
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168631416
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168667259
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168687905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168691819
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168694572
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1311168700505
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1311168700644
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1311168700795
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1311168700829
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1311168703140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168720242
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168720806
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168749310
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168763094
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168818193
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1311168847435
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168851299
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168867304
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168882651
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168886873
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168892429
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311168911067
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168954310
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168954824
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168957663
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168958423
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168958572
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168958739
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168958903
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168959064
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168959236
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311168959404
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311168984450
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169012929
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169016715
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169018464
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169062642
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311169067116
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169067346
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169068235
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169075100
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169075200
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169077482
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169077581
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1311169089948
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1311169104279
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1311169118714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169131748
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169335973
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169346792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311169380373
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311169411257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311169413145
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311169450239
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1311169482095
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1311169483971
